"S21 Log Mag"
"Freq (Hz)","dB",
10607812500, -2.577371e+000,
10608593750, -2.576797e+000,
10609375000, -2.580807e+000,
10610156250, -2.578734e+000,
10610937500, -2.577382e+000,
10611718750, -2.578884e+000,
10612500000, -2.573073e+000,
10613281250, -2.575686e+000,
10614062500, -2.569699e+000,
10614843750, -2.571764e+000,
10615625000, -2.566459e+000,
10616406250, -2.569668e+000,
10617187500, -2.552512e+000,
10617968750, -2.557960e+000,
10618750000, -2.559201e+000,
10619531250, -2.550051e+000,
10620312500, -2.557573e+000,
10621093750, -2.546788e+000,
10621875000, -2.546421e+000,
10622656250, -2.557043e+000,
10623437500, -2.544375e+000,
10624218750, -2.541133e+000,
10625000000, -2.546113e+000,
10625781250, -2.551756e+000,
10626562500, -2.551580e+000,
10627343750, -2.541962e+000,
10628125000, -2.543243e+000,
10628906250, -2.537426e+000,
10629687500, -2.538097e+000,
10630468750, -2.545341e+000,
10631250000, -2.541340e+000,
10632031250, -2.544112e+000,
10632812500, -2.542167e+000,
10633593750, -2.539114e+000,
10634375000, -2.543705e+000,
10635156250, -2.544933e+000,
10635937500, -2.541653e+000,
10636718750, -2.554048e+000,
10637500000, -2.555440e+000,
10638281250, -2.553948e+000,
10639062500, -2.558970e+000,
10639843750, -2.555288e+000,
10640625000, -2.566309e+000,
10641406250, -2.559086e+000,
10642187500, -2.567316e+000,
10642968750, -2.564653e+000,
10643750000, -2.561165e+000,
10644531250, -2.565653e+000,
10645312500, -2.569484e+000,
10646093750, -2.572571e+000,
10646875000, -2.570981e+000,
10647656250, -2.569398e+000,
10648437500, -2.573444e+000,
10649218750, -2.575056e+000,
10650000000, -2.572213e+000,
10650781250, -2.567588e+000,
10651562500, -2.569502e+000,
10652343750, -2.564833e+000,
10653125000, -2.547627e+000,
10653906250, -2.562538e+000,
10654687500, -2.559945e+000,
10655468750, -2.551736e+000,
10656250000, -2.561748e+000,
10657031250, -2.553841e+000,
10657812500, -2.543688e+000,
10658593750, -2.543852e+000,
10659375000, -2.552190e+000,
10660156250, -2.553328e+000,
10660937500, -2.550440e+000,
10661718750, -2.553238e+000,
10662500000, -2.550290e+000,
10663281250, -2.558284e+000,
10664062500, -2.558860e+000,
10664843750, -2.553517e+000,
10665625000, -2.558689e+000,
10666406250, -2.550729e+000,
10667187500, -2.558538e+000,
10667968750, -2.550725e+000,
10668750000, -2.558331e+000,
10669531250, -2.558858e+000,
10670312500, -2.557857e+000,
10671093750, -2.557362e+000,
10671875000, -2.555000e+000,
10672656250, -2.554740e+000,
10673437500, -2.553271e+000,
10674218750, -2.549602e+000,
10675000000, -2.564017e+000,
10675781250, -2.552844e+000,
10676562500, -2.554826e+000,
10677343750, -2.556512e+000,
10678125000, -2.564127e+000,
10678906250, -2.569605e+000,
10679687500, -2.567279e+000,
10680468750, -2.563336e+000,
10681250000, -2.567433e+000,
10682031250, -2.571121e+000,
10682812500, -2.562677e+000,
10683593750, -2.574402e+000,
10684375000, -2.569564e+000,
10685156250, -2.571677e+000,
10685937500, -2.567718e+000,
10686718750, -2.568569e+000,
10687500000, -2.572856e+000,
10688281250, -2.575152e+000,
10689062500, -2.570279e+000,
10689843750, -2.568800e+000,
10690625000, -2.573977e+000,
10691406250, -2.569718e+000,
10692187500, -2.577881e+000,
10692968750, -2.575366e+000,
10693750000, -2.574485e+000,
10694531250, -2.579607e+000,
10695312500, -2.572536e+000,
10696093750, -2.576394e+000,
10696875000, -2.579619e+000,
10697656250, -2.576392e+000,
10698437500, -2.572604e+000,
10699218750, -2.576325e+000,
10700000000, -2.566361e+000,
10700781250, -2.570197e+000,
10701562500, -2.561093e+000,
10702343750, -2.560398e+000,
10703125000, -2.565350e+000,
10703906250, -2.557709e+000,
10704687500, -2.561773e+000,
10705468750, -2.562296e+000,
10706250000, -2.553194e+000,
10707031250, -2.551654e+000,
10707812500, -2.547282e+000,
10708593750, -2.545962e+000,
10709375000, -2.540530e+000,
10710156250, -2.542548e+000,
10710937500, -2.535165e+000,
10711718750, -2.543645e+000,
10712500000, -2.539445e+000,
10713281250, -2.542628e+000,
10714062500, -2.544122e+000,
10714843750, -2.530347e+000,
10715625000, -2.538168e+000,
10716406250, -2.538768e+000,
10717187500, -2.534908e+000,
10717968750, -2.534625e+000,
10718750000, -2.533707e+000,
10719531250, -2.531052e+000,
10720312500, -2.535988e+000,
10721093750, -2.537456e+000,
