Type;FSV-40;
Version;2.30 SP1;
Date;08.Jan 16;
Mode;ANALYZER;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;9999500000.000000;Hz
Stop;10000500000.000000;Hz
Ref Level;-68.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;11.377200;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
10000144927.536097;-136.92649841308594;-184.81272888183594
10000146376.811459;-137.11677551269531;-188.43792724609375
10000147826.086821;-137.21063232421875;-199.87886047363281
10000149275.362183;-136.72035217285156;-190.7388916015625
10000150724.637545;-137.02641296386719;-186.20556640625
10000152173.912907;-135.75337219238281;-191.02682495117187
10000153623.188269;-136.19033813476562;-190.09194946289062
10000155072.463631;-137.21759033203125;-190.27761840820313
10000156521.738993;-137.19364929199219;-183.09364318847656
10000157971.014355;-136.56742858886719;-191.80596923828125
10000159420.289717;-136.30406188964844;-187.71012878417969
10000160869.565079;-138.62106323242187;-176.42852783203125
10000162318.840441;-138.44024658203125;-177.1463623046875
10000163768.115803;-138.82417297363281;-169.53857421875
10000165217.391165;-138.92608642578125;-171.95991516113281
10000166666.666527;-139.42864990234375;-170.08558654785156
10000168115.941889;-139.43679809570312;-171.92137145996094
10000169565.217251;-137.68995666503906;-169.25379943847656
